ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date,
7001144,P.J. Tucker,TOR,CLE,OUT OF GAME,6000,0,0,0,0,C,PF,12022025,
7001145,Markieff Morris,LAL,UTA,,6000,0,0,0,0,PF,C,12022025,
7001198,Damian Lillard,MIL,MIN,OUT OF GAME,19210,0,0,0,0,PG,,12022025,
7001203,Russell Westbrook,DEN,POR,OUT OF GAME,12290,0,0,0,0,PG,SG,12022025,
7001218,Tristan Thompson,CLE,TOR,,6000,0,0,0,0,C,,12022025,
7001228,Kevin Love,MIA,OKC,OUT OF GAME,6000,0,0,0,0,PF,C,12022025,
7001317,Terry Rozier,MIA,OKC,OUT OF GAME,10900,0,0,0,0,PG,,12022025,
7001323,Jahlil Okafor,IND,WAS,,6000,0,0,0,0,C,,12022025,
7001331,Delon Wright,NYK,ATL,,6000,0,0,0,0,PG,SG,12022025,
7001333,Myles Turner,IND,WAS,OUT OF GAME,12870,0,0,0,0,C,,12022025,
7001353,Devin Booker,PHX,HOU,OUT OF GAME,18130,0,0,0,0,SG,,12022025,
7001362,Larry Nance,ATL,NYK,OUT OF GAME,7410,0,0,0,0,PF,C,12022025,
7001396,Dejounte Murray,NOP,SAC,OUT OF GAME,15560,0,0,0,0,PG,,12022025,
7001401,Dorian Finney-Smith,LAL,UTA,OUT OF GAME,7090,0,0,0,0,PF,,12022025,
7001406,Jaylen Brown,BOS,SAS,OUT OF GAME,15350,0,0,0,0,SF,SG,12022025,
7001410,Jakob Poeltl,TOR,CLE,OUT OF GAME,13560,0,0,0,0,C,,12022025,
7001411,Fred VanVleet,HOU,PHX,OUT OF GAME,13540,0,0,0,0,PG,,12022025,
7001416,Dario Saric,DEN,POR,,6000,0,0,0,0,PF,C,12022025,
7001417,Ben Simmons,LAC,MEM,OUT OF GAME,9750,0,0,0,0,PG,PF,12022025,
7001442,Brandon Ingram,TOR,CLE,OUT OF GAME,14890,0,0,0,0,SF,PF,12022025,
7001527,Lonzo Ball,CHI,DET,OUT OF GAME,9270,0,0,0,0,PG,,12022025,
